StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PROLIFID_T1,FARRIGHTHCK_1,DOSPERT_T1_1,DOSPERT_T1_2,DOSPERT_T1_3,DOSPERT_T1_4,DOSPERT_T1_5,DOSPERT_T1_6,DOSPERT_T1_7,DOSPERT_T1_8,DOSPERT_T1_9,DOSPERT_T1_10,DOSPERT_T1_11,DOSPERT_T1_12,DOSPERT_T1_13,DOSPERT_T1_14,DOSPERT_T1_15,DOSPERT_T1_16,DOSPERT_T1_17,DOSPERT_T1_18,DOSPERT_T1_19,DOSPERT_T1_20,DOSPERT_T1_21,DOSPERT_T1_22,DOSPERT_T1_23,DOSPERT_T1_24,DOSPERT_T1_25,DOSPERT_T1_26,DOSPERT_T1_32,DOSPERT_T1_27,DOSPERT_T1_28,DOSPERT_T1_29,DOSPERT_T1_30,DOSPERT_T1_31,GRIPS_T1_1,GRIPS_T1_2,GRIPS_T1_3,GRIPS_T1_4,GRIPS_T1_5,GRIPS_T1_6,GRIPS_T1_7,GRIPS_T1_8,NEO_T1_1,NEO_T1_2,NEO_T1_3,NEO_T1_4,NEO_T1_5,NEO_T1_6,NEO_T1_7,NEO_T1_8,NEO_T1_9,NEO_T1_10,NEO_T1_11,NEO_T1_12,NEO_T1_13,NEO_T1_14,NEO_T1_15,NEO_T1_16,NEO_T1_17,NEO_T1_18,NEO_T1_19,NEO_T1_20,NEO_T1_21,NEO_T1_22,NEO_T1_23,NEO_T1_24,NEO_T1_25,NEO_T1_26,NEO_T1_27,NEO_T1_28,NEO_T1_29,NEO_T1_30,NEO_T1_31,NEO_T1_32,NEO_T1_33,NEO_T1_34,NEO_T1_35,NEO_T1_36,NEO_T1_37,NEO_T1_38,NEO_T1_39,NEO_T1_40,NEO_T1_41,NEO_T1_42,NEO_T1_43,NEO_T1_44,NEO_T1_45,NEO_T1_46,NEO_T1_47,NEO_T1_48,NEO_T1_49,NEO_T1_50,NEO_T1_51,NEO_T1_52,NEO_T1_53,NEO_T1_54,NEO_T1_55,NEO_T1_56,NEO_T1_57,NEO_T1_58,NEO_T1_59,NEO_T1_60,DARK_T1_1,DARK_T1_2,DARK_T1_3,DARK_T1_4,DARK_T1_5,DARK_T1_6,DARK_T1_7,DARK_T1_8,DARK_T1_9,DARK_T1_10,DARK_T1_11,DARK_T1_12,DARK_T1_13,DARK_T1_14,DARK_T1_15,DARK_T1_16,DARK_T1_17,DARK_T1_18,DARK_T1_19,DARK_T1_20,DARK_T1_21,DARK_T1_22,DARK_T1_23,DARK_T1_24,DARK_T1_25,DARK_T1_26,DARK_T1_27,DARK_T1_28,DARK_T1_29,DARK_T1_30,DARK_T1_31,DARK_T1_32,DARK_T1_33,DARK_T1_34,DARK_T1_35,DARK_T1_36,DARK_T1_37,DARK_T1_38,DARK_T1_39,DARK_T1_40,DARK_T1_41,DARK_T1_42,GENRISK_T1,SNS_T1_1,SNS_T1_2,SNS_T1_3,SNS_T1_4,JPIIPIP_T1_1,JPIIPIP_T1_2,JPIIPIP_T1_3,JPIIPIP_T1_4,JPIIPIP_T1_5,JPIIPIP_T1_6,JPIIPIP_T1_7,JPIIPIP_T1_8,JPIIPIP_T1_9,JPIIPIP_T1_10,AGE,RACE,RACE_6_TEXT,SEX,EDU,EMPLOY,WORK,INCOME
4/16/2019 12:59,4/16/2019 13:07,0,73.114.29.10,100,511,1,4/16/2019 13:07,R_1eDlWz0ecI6m6Du,,,,,41.46220398,-72.11260223,anonymous,EN,5c06bc54ed90220001138dc1,,7,6,1,6,5,5,6,1,6,2,1,5,5,1,6,6,6,5,1,7,2,7,7,1,1,1,7,6,6,7,5,6,4,3,2,2,3,4,4,3,5,5,4,2,4,4,4,3,2,2,2,2,3,3,1,5,3,2,2,2,4,3,3,3,4,4,5,1,4,2,4,4,2,2,4,1,4,4,2,2,4,4,3,3,1,1,4,4,4,4,5,3,4,3,3,3,4,4,4,3,4,2,4,3,2,3,4,4,2,4,3,2,4,2,5,5,2,1,1,4,4,2,4,4,1,1,2,4,5,2,3,2,3,4,4,1,4,4,4,1,4,1,6,4,5,4,5,3,4,1,3,4,4,5,5,4,4,25,1,,0,2,7,1,176
4/16/2019 13:12,4/16/2019 13:18,0,35.137.92.169,100,361,1,4/16/2019 13:18,R_21zD6FQPJy3sPpS,,,,,28.29870605,-82.69020081,anonymous,EN,55b3120cfdf99b6ef6263a71,,7,7,5,6,5,1,5,3,1,1,1,4,5,5,1,1,3,6,4,7,7,7,7,7,2,5,7,5,6,6,1,1,4,4,4,3,4,3,5,4,5,2,1,1,4,2,1,1,4,5,5,4,5,5,5,1,4,4,4,4,5,5,5,5,5,4,5,1,5,1,3,4,1,1,3,3,3,4,1,1,5,5,1,1,1,4,5,5,5,5,5,2,5,1,5,5,5,2,2,2,4,4,2,4,5,5,3,4,3,3,1,1,5,4,2,4,2,3,3,2,4,3,3,4,1,1,4,1,3,5,1,1,5,4,1,1,3,3,2,1,1,1,8,5,5,6,6,3,5,2,4,4,5,2,2,3,4,51,1,,0,5,2,4,178
4/16/2019 13:05,4/16/2019 13:18,0,142.129.98.207,100,767,1,4/16/2019 13:18,R_2cnqHGz1Y3Sp80F,,,,,34.07400513,-118.2611008,anonymous,EN,5c3cf0e451c0920001fe604d,,7,2,1,5,7,1,5,1,1,1,6,6,3,1,5,2,1,5,6,7,1,7,7,5,7,3,7,2,7,7,1,5,4,4,4,4,4,4,4,4,3,1,1,1,4,3,1,1,1,4,5,5,5,5,5,1,5,5,5,5,5,5,5,4,2,2,3,3,4,2,1,2,2,2,4,1,4,4,3,2,5,5,1,1,1,4,5,5,5,5,2,4,4,1,5,5,5,2,4,4,2,2,2,2,3,4,2,2,2,4,2,2,5,4,2,2,4,3,4,2,4,2,4,4,1,1,1,1,1,4,1,4,5,5,1,1,4,1,2,4,1,1,8,5,5,6,6,4,4,1,4,5,5,1,2,2,2,29,2,,0,5,1,6,179
4/16/2019 13:10,4/16/2019 13:20,0,80.7.145.176,100,634,1,4/16/2019 13:20,R_2aPuWUNZWSu5UXp,,,,,52.76809692,-1.202606201,anonymous,EN,5b7f376c338a93000155a7d7 ,,6,7,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1,1,7,1,5,6,1,1,1,7,4,1,5,1,1,2,1,1,2,5,2,2,3,5,4,1,1,4,5,5,4,5,3,4,4,1,2,1,5,2,2,4,4,1,3,3,3,1,2,1,5,3,3,5,5,5,4,3,1,2,1,2,2,4,3,4,1,1,1,2,2,2,3,4,1,5,1,5,5,5,5,1,5,5,2,4,1,4,5,1,2,1,2,2,2,4,1,5,4,1,1,1,4,3,2,5,1,1,1,1,1,3,1,1,2,2,4,3,1,3,2,4,1,5,1,3,4,4,3,5,1,2,2,2,3,3,4,1,5,4,28,1,,0,6,1,5,177
4/16/2019 13:16,4/16/2019 13:24,0,24.222.83.223,100,451,1,4/16/2019 13:24,R_WvCfcXGIqKoucRb,,,,,48.43330383,-58.5,anonymous,EN,5627e09b69ee9a000f19d56d,,6,4,1,1,1,1,3,1,1,1,1,1,1,1,5,5,1,1,1,7,1,7,5,5,1,1,7,4,7,5,3,1,1,1,1,1,1,1,1,1,5,5,2,2,4,3,5,5,2,3,1,1,4,2,1,4,1,1,2,2,4,3,2,2,4,4,3,3,5,1,4,3,2,5,5,1,2,2,1,,5,5,2,2,2,2,4,4,2,3,2,4,4,4,2,4,,4,2,3,4,1,4,3,2,5,3,2,2,3,1,2,5,1,5,2,4,2,1,4,5,3,5,2,1,1,2,1,5,2,1,1,2,1,4,1,4,1,4,2,3,1,3,1,1,1,3,1,1,1,1,2,2,5,5,4,5,38,1,,0,4,4,1,178
4/16/2019 13:12,4/16/2019 13:24,0,187.200.28.109,100,737,1,4/16/2019 13:24,R_2zAMDotxxcCZXn5,,,,,19.4342041,-99.13860321,anonymous,EN,5b4d15c23d01bd0001ec4018,,7,6,1,3,6,4,5,1,3,1,1,1,5,1,5,6,6,1,3,7,2,7,6,7,4,6,7,2,7,7,3,6,4,4,4,3,4,4,3,4,4,5,2,1,4,3,2,2,1,1,2,2,3,3,5,2,4,4,5,4,5,5,5,5,4,4,5,1,4,1,4,1,1,1,4,1,5,5,1,1,4,4,1,1,1,4,5,5,4,4,1,5,4,2,4,4,5,2,3,4,4,1,1,3,3,4,1,4,2,4,2,1,5,4,2,1,5,1,4,3,4,5,5,4,1,1,4,1,2,4,1,1,5,4,2,1,1,1,5,2,1,1,7,4,5,4,4,3,4,2,4,4,5,2,3,2,2,19,1,,0,2,4,1,175
4/16/2019 13:24,4/16/2019 13:31,0,65.162.44.83,100,424,1,4/16/2019 13:31,R_3gMICICyrZ3NMwR,,,,,43.97019958,-91.86620331,anonymous,EN,5a9b53b5777df20001600866,,6,2,1,7,1,3,3,1,2,4,1,4,1,1,6,5,1,5,1,7,4,2,2,6,1,1,7,5,2,1,1,2,2,2,2,1,1,1,1,1,4,2,3,2,3,1,2,1,1,2,4,4,4,4,1,5,4,4,4,4,2,2,2,4,2,2,1,5,2,4,5,5,4,4,3,2,4,4,2,2,3,4,3,1,1,3,2,4,4,5,5,1,3,3,5,4,4,4,4,3,5,1,4,4,5,4,4,4,1,3,1,1,5,4,4,4,3,3,1,2,1,2,4,2,2,1,1,1,2,2,1,1,4,4,1,2,1,1,5,2,1,1,5,6,6,6,6,2,2,1,2,2,2,5,2,5,4,44,1,,1,6,1,6,179
4/16/2019 13:26,4/16/2019 13:37,0,204.83.191.12,100,638,1,4/16/2019 13:37,R_3I3vLWWPWzck2iM,,,,,53.19999695,-105.75,anonymous,EN,5affd4b56a67f90001f6889c,,7,7,1,7,1,1,4,1,1,1,1,7,6,1,1,1,1,7,7,7,1,7,7,7,1,6,7,1,7,1,3,1,5,5,4,1,4,4,4,5,4,4,4,4,2,1,2,2,5,4,2,2,5,4,5,2,5,5,4,4,5,5,5,5,5,5,5,1,2,1,2,1,1,1,4,1,5,5,3,4,5,4,4,1,2,5,2,4,4,5,5,1,5,1,5,5,5,1,1,4,2,2,4,3,5,5,4,1,1,2,1,1,5,4,2,1,2,3,1,2,5,5,4,4,1,1,1,1,1,4,1,1,5,5,4,1,2,1,5,1,2,1,10,6,6,6,6,2,5,2,4,5,4,1,5,1,4,25,4,,1,5,1,5,178
4/16/2019 13:25,4/16/2019 13:37,0,80.3.95.167,100,723,1,4/16/2019 13:37,R_w6MSoDhfk4qGsvv,,,,,51.46229553,-2.550201416,anonymous,EN,5b6d4980885b0b0001bad73c,,6,5,2,3,6,2,2,1,2,3,2,2,5,2,3,3,2,2,5,7,2,3,2,5,3,1,7,5,2,5,1,5,4,1,2,1,2,2,3,2,4,4,2,2,3,4,3,4,2,4,4,4,3,3,2,4,2,2,2,2,4,4,4,4,2,4,4,2,3,4,4,4,4,4,3,1,4,4,2,2,4,4,2,2,2,3,4,4,4,4,4,2,4,2,4,4,4,4,2,2,4,2,2,3,4,4,4,3,2,4,3,4,4,2,4,4,2,2,2,3,4,4,4,3,2,1,3,1,4,2,2,1,4,4,2,2,2,2,5,2,4,1,4,1,4,3,4,2,2,2,2,2,4,5,4,4,5,29,1,,0,6,1,5,176
4/16/2019 13:33,4/16/2019 13:40,0,207.236.182.130,100,435,1,4/16/2019 13:40,R_vJ10PnseJeQ9Idj,,,,,45.65010071,-75.66600037,anonymous,EN,5b982455d398ef00015411e0,,7,5,1,1,3,1,3,1,1,1,1,1,1,1,7,1,1,1,1,7,1,6,1,1,1,1,7,1,1,1,1,1,4,2,2,2,2,2,2,2,4,2,1,1,1,2,4,2,2,4,4,2,4,4,2,4,2,2,5,5,4,4,4,4,4,4,4,2,2,2,4,2,4,2,4,1,4,4,1,1,4,4,1,1,1,3,3,2,4,4,4,4,4,2,4,4,4,4,4,4,5,4,2,4,4,3,3,4,2,4,3,3,4,1,4,4,1,1,1,3,5,4,5,3,1,1,4,1,5,1,3,1,1,1,1,1,1,1,3,1,1,1,5,4,4,4,4,1,1,1,1,4,2,2,2,4,1,28,1,,1,4,1,5,177
